Unnamed: 0,Make,Colour,Odometer (KM),Doors,Price,Seats,Fuel per 100KM,Total fuel used,Passes road safety
0,Toyota,White,150043,4,400000,5.0,7.5,11253.225,True
1,Honda,Red,87899,4,500000,5.0,9.2,8086.708,True
2,Toyota,Blue,32549,3,700000,5.0,5.0,1627.45,True
3,BMW,Black,11179,5,2200000,5.0,9.6,1073.184,True
4,Nissan,White,213095,4,350000,5.0,8.7,18539.265,True
5,Toyota,Green,99213,4,450000,5.0,4.7,4663.011,True
6,Honda,Blue,45698,4,750000,5.0,7.6,3473.048,True
7,Honda,Blue,54738,4,700000,5.0,8.7,4762.205999999999,True
8,Toyota,White,60000,4,625000,5.0,3.0,1800.0,True
9,Nissan,White,31600,4,970000,5.0,1.0,316.0,True
